RefDes,Layer,LocationX,LocationY,Rotation
R50,Top,2.875,0.570,270
R51,Top,2.565,0.570,90
R52,Top,2.665,0.570,270
R53,Top,2.365,0.570,90
R54,Top,2.465,0.570,270
R55,Top,2.165,0.570,90
R56,Top,2.265,0.570,270
R57,Top,1.965,0.570,90
R58,Top,2.065,0.570,270
R59,Top,1.765,0.570,90
R60,Top,1.865,0.570,270
R61,Top,1.565,0.570,90
R62,Top,1.665,0.570,270
R63,Top,1.365,0.570,90
R64,Top,1.465,0.570,270
R67,Top,5.270,1.780,180
R68,Top,2.900,2.125,180
R69,Top,2.965,2.040,180
R72,Top,3.185,2.400,0
R73,Top,3.020,2.400,180
R74,Top,2.814,2.040,0
R75,Top,2.790,2.155,90
R76,Top,3.430,5.750,270
R77,Top,4.050,3.755,270
R78,Top,3.980,3.785,270
R79,Top,3.980,3.585,270
R80,Top,3.985,3.455,90
R81,Top,4.040,3.325,90
R82,Top,4.110,3.320,90
R83,Top,4.048,3.585,270
R84,Top,4.125,3.755,270
TTL_IN,Top,4.175,0.290,0
TTL_OUT,Top,3.225,0.290,0
